Observation,Texturn,image,comments
urn:cite:op:hmt:10.1,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@ὕ,"urn:cite:hmt:vaimg.VA126VN-0629@0.4805,0.2171,0.03,0.0218",
urn:cite:op:hmt:10.2,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@π,"urn:cite:hmt:vaimg.VA126VN-0629@0.5045,0.2209,0.012,0.0218",
urn:cite:op:hmt:10.3,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@ν,"urn:cite:hmt:vaimg.VA126VN-0629@0.5145,0.2254,0.011,0.0143",
urn:cite:op:hmt:10.4,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@ο,"urn:cite:hmt:vaimg.VA126VN-0629@0.5225,0.2276,0.009,0.0075",
urn:cite:op:hmt:10.5,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@σ,"urn:cite:hmt:vaimg.VA126VN-0629@0.5315,0.2239,0.018,0.012",
urn:cite:op:hmt:10.6,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@ἐ,"urn:cite:hmt:vaimg.VA126VN-0629@0.5475,0.2164,0.016,0.021",
urn:cite:op:hmt:10.7,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@π[2],"urn:cite:hmt:vaimg.VA126VN-0629@0.5606,0.2179,0.014,0.021",
urn:cite:op:hmt:10.8,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@ὶ,"urn:cite:hmt:vaimg.VA126VN-0629@0.5706,0.2119,0.013,0.0248",
urn:cite:op:hmt:10.9,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@β,"urn:cite:hmt:vaimg.VA126VN-0629@0.5816,0.2201,0.012,0.0143",
urn:cite:op:hmt:10.10,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@λ,"urn:cite:hmt:vaimg.VA126VN-0629@0.5886,0.2216,0.016,0.0203",
urn:cite:op:hmt:10.11,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@ε,"urn:cite:hmt:vaimg.VA126VN-0629@0.6046,0.2171,0.011,0.0173",
urn:cite:op:hmt:10.12,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@φ,"urn:cite:hmt:vaimg.VA126VN-0629@0.6166,0.2164,0.013,0.024",
urn:cite:op:hmt:10.13,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@ά,"urn:cite:hmt:vaimg.VA126VN-0629@0.6296,0.2111,0.011,0.0255",
urn:cite:op:hmt:10.14,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@ρ,"urn:cite:hmt:vaimg.VA126VN-0629@0.6366,0.2216,0.013,0.0165",
urn:cite:op:hmt:10.15,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@ο[2],"urn:cite:hmt:vaimg.VA126VN-0629@0.6466,0.2239,0.012,0.0128",
urn:cite:op:hmt:10.16,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@ι,"urn:cite:hmt:vaimg.VA126VN-0629@0.6577,0.2224,0.007,0.0135",
urn:cite:op:hmt:10.17,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@σ[2],"urn:cite:hmt:vaimg.VA126VN-0629@0.6657,0.2201,0.009,0.015",
urn:cite:op:hmt:10.18,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@ι[2],"urn:cite:hmt:vaimg.VA126VN-0629@0.6717,0.2209,0.01,0.0143",
urn:cite:op:hmt:10.19,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@ν[2],"urn:cite:hmt:vaimg.VA126VN-0629@0.6797,0.2179,0.011,0.0218",
urn:cite:op:hmt:10.20,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@ἐ[2],"urn:cite:hmt:vaimg.VA126VN-0629@0.6917,0.2156,0.017,0.0203",
urn:cite:op:hmt:10.21,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@φ[2],"urn:cite:hmt:vaimg.VA126VN-0629@0.7047,0.2141,0.017,0.024",
urn:cite:op:hmt:10.22,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@ί,"urn:cite:hmt:vaimg.VA126VN-0629@0.7167,0.2134,0.014,0.018",
urn:cite:op:hmt:10.23,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@ζ,"urn:cite:hmt:vaimg.VA126VN-0629@0.7257,0.2186,0.018,0.0195",
urn:cite:op:hmt:10.24,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@α,"urn:cite:hmt:vaimg.VA126VN-0629@0.7407,0.2209,0.017,0.012",
urn:cite:op:hmt:10.25,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@ν[3],"urn:cite:hmt:vaimg.VA126VN-0629@0.7538,0.2164,0.012,0.018",
urn:cite:op:hmt:10.26,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@ε[2],"urn:cite:hmt:vaimg.VA126VN-0629@0.7648,0.2201,0.009,0.0143",
urn:cite:op:hmt:10.28,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@μ,"urn:cite:hmt:vaimg.VA126VN-0629@0.7778,0.2179,0.016,0.024",
urn:cite:op:hmt:10.29,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@ή,"urn:cite:hmt:vaimg.VA126VN-0629@0.7918,0.2179,0.017,0.0203",
urn:cite:op:hmt:10.30,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@τ,"urn:cite:hmt:vaimg.VA126VN-0629@0.8058,0.2224,0.01,0.015",
urn:cite:op:hmt:10.31,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@ι[3],"urn:cite:hmt:vaimg.VA126VN-0629@0.8138,0.2209,0.009,0.0158",
urn:cite:op:hmt:10.32,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@π[2],"urn:cite:hmt:vaimg.VA126VN-0629@0.8198,0.2209,0.018,0.0135",
urn:cite:op:hmt:10.33,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@ά[2],"urn:cite:hmt:vaimg.VA126VN-0629@0.8348,0.2126,0.017,0.024",
urn:cite:op:hmt:10.34,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@θ,"urn:cite:hmt:vaimg.VA126VN-0629@0.8498,0.2149,0.011,0.0195",
urn:cite:op:hmt:10.35,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@ο[3],"urn:cite:hmt:vaimg.VA126VN-0629@0.8599,0.2201,0.008,0.0188",
urn:cite:op:hmt:10.36,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@ι[4],"urn:cite:hmt:vaimg.VA126VN-0629@0.8669,0.2209,0.005,0.0188",
urn:cite:op:hmt:10.37,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@ε[3],"urn:cite:hmt:vaimg.VA126VN-0629@0.8689,0.2171,0.013,0.0203",
urn:cite:op:hmt:10.38,urn:cts:greekLit:tlg0012.tlg001.msA:10.26@ν[4],"urn:cite:hmt:vaimg.VA126VN-0629@0.8779,0.2216,0.018,0.018",
urn:cite:op:hmt:10.1001,urn:cts:greekLit:tlg5026.msA.hmt:10.36@ἀ,"urn:cite:hmt:vaimg.VA126VN-0629@0.2172,0.1067,0.021,0.021",
urn:cite:op:hmt:10.1002,urn:cts:greekLit:tlg5026.msA.hmt:10.36@ρ,"urn:cite:hmt:vaimg.VA126VN-0629@0.2322,0.1142,0.014,0.0135",
urn:cite:op:hmt:10.1003,urn:cts:greekLit:tlg5026.msA.hmt:10.36@γ,"urn:cite:hmt:vaimg.VA126VN-0629@0.2442,0.1097,0.009,0.0158",
urn:cite:op:hmt:10.1004,urn:cts:greekLit:tlg5026.msA.hmt:10.36@ε,"urn:cite:hmt:vaimg.VA126VN-0629@0.251,0.1126,0.007,0.0113",
urn:cite:op:hmt:10.1005,urn:cts:greekLit:tlg5026.msA.hmt:10.36@ῖ,"urn:cite:hmt:vaimg.VA126VN-0629@0.256,0.1074,0.006,0.0188",
urn:cite:op:hmt:10.1006,urn:cts:greekLit:tlg5026.msA.hmt:10.36@ο,"urn:cite:hmt:vaimg.VA126VN-0629@0.262,0.1074,0.006,0.0188",
urn:cite:op:hmt:10.1007,urn:cts:greekLit:tlg5026.msA.hmt:10.36@ι,"urn:cite:hmt:vaimg.VA126VN-0629@0.267,0.1089,0.007,0.0173",
urn:cite:op:hmt:10.1008,urn:cts:greekLit:tlg5026.msA.hmt:10.36@τ,"urn:cite:hmt:vaimg.VA126VN-0629@0.273,0.1089,0.011,0.0135",
urn:cite:op:hmt:10.1009,urn:cts:greekLit:tlg5026.msA.hmt:10.36@ί,"urn:cite:hmt:vaimg.VA126VN-0629@0.282,0.1014,0.011,0.0218",
urn:cite:op:hmt:10.1010,urn:cts:greekLit:tlg5026.msA.hmt:10.36@δ,"urn:cite:hmt:vaimg.VA126VN-0629@0.286,0.1081,0.01,0.0165",
urn:cite:op:hmt:10.1011,urn:cts:greekLit:tlg5026.msA.hmt:10.36@ὴ,"urn:cite:hmt:vaimg.VA126VN-0629@0.295,0.1066,0.01,0.0203",
urn:cite:op:hmt:10.1012,urn:cts:greekLit:tlg5026.msA.hmt:10.36@ἡ,"urn:cite:hmt:vaimg.VA126VN-0629@0.315,0.1044,0.014,0.021",
urn:cite:op:hmt:10.1013,urn:cts:greekLit:tlg5026.msA.hmt:10.36@δ[2],"urn:cite:hmt:vaimg.VA126VN-0629@0.327,0.1036,0.016,0.0225",
urn:cite:op:hmt:10.1014,urn:cts:greekLit:tlg5026.msA.hmt:10.36@ι[2],"urn:cite:hmt:vaimg.VA126VN-0629@0.343,0.1111,0.006,0.015",
urn:cite:op:hmt:10.1015,urn:cts:greekLit:tlg5026.msA.hmt:10.36@π,"urn:cite:hmt:vaimg.VA126VN-0629@0.35,0.1096,0.01,0.0173",
urn:cite:op:hmt:10.1016,urn:cts:greekLit:tlg5026.msA.hmt:10.36@λ,"urn:cite:hmt:vaimg.VA126VN-0629@0.358,0.1089,0.009,0.0218",
urn:cite:op:hmt:10.1017,urn:cts:greekLit:tlg5026.msA.hmt:10.36@ῆ,"urn:cite:hmt:vaimg.VA126VN-0629@0.367,0.1059,0.009,0.0195",
urn:cite:op:hmt:10.1018,urn:cts:greekLit:tlg5026.msA.hmt:10.36@π[2],"urn:cite:hmt:vaimg.VA126VN-0629@0.374,0.1074,0.012,0.0225",
urn:cite:op:hmt:10.1019,urn:cts:greekLit:tlg5026.msA.hmt:10.36@ρ[2],"urn:cite:hmt:vaimg.VA126VN-0629@0.385,0.1111,0.007,0.0143",
urn:cite:op:hmt:10.1020,urn:cts:greekLit:tlg5026.msA.hmt:10.36@ο[2],"urn:cite:hmt:vaimg.VA126VN-0629@0.385,0.1111,0.007,0.0143",
urn:cite:op:hmt:10.1021,urn:cts:greekLit:tlg5026.msA.hmt:10.68@ἀ,"urn:cite:hmt:vaimg.VA127RN-0299@0.1732,0.0954,0.009,0.018",
urn:cite:op:hmt:10.1022,urn:cts:greekLit:tlg5026.msA.hmt:10.68@λλ᾽,"urn:cite:hmt:vaimg.VA127RN-0299@0.1792,0.0939,0.012,0.0248",
urn:cite:op:hmt:10.1023,urn:cts:greekLit:tlg5026.msA.hmt:10.68@ΐ,"urn:cite:hmt:vaimg.VA127RN-0299@0.1922,0.0939,0.011,0.0263",
urn:cite:op:hmt:10.1024,urn:cts:greekLit:tlg5026.msA.hmt:10.68@θ,"urn:cite:hmt:vaimg.VA127RN-0299@0.2022,0.0977,0.008,0.0135",
urn:cite:op:hmt:10.1025,urn:cts:greekLit:tlg5026.msA.hmt:10.68@ι,"urn:cite:hmt:vaimg.VA127RN-0299@0.2092,0.0969,0.006,0.0165",
urn:cite:op:hmt:10.1026,urn:cts:greekLit:tlg5026.msA.hmt:10.68@ν,"urn:cite:hmt:vaimg.VA127RN-0299@0.2172,0.0977,0.005,0.015",
urn:cite:op:hmt:10.1027,urn:cts:greekLit:tlg5026.msA.hmt:10.68@ῦ,"urn:cite:hmt:vaimg.VA127RN-0299@0.2212,0.0954,0.012,0.0165",
urn:cite:op:hmt:10.1028,urn:cts:greekLit:tlg5026.msA.hmt:10.68@ν[2],"urn:cite:hmt:vaimg.VA127RN-0299@0.2292,0.0977,0.009,0.015",
urn:cite:op:hmt:10.1029,urn:cts:greekLit:tlg5026.msA.hmt:10.68@α,"urn:cite:hmt:vaimg.VA127RN-0299@0.2392,0.0977,0.008,0.0135",
