Slur,Reading,Image
urn:cite:hmt:venAslur.10-1,urn:cts:greekLit:tlg001.tlg0012.msA.hmt:10.1@Παναχαιῶν,"cite:hmt:vaimg.VA126RN-0298@0.4825,0.2141,0.1131,0.0173"
urn:cite:hmt:venAslur.10-2,urn:cts:greekLit:tlg001.tlg0012.msA.hmt:10.77@παναίολος,"urn:cite:hmt:vaimg.VA127VN-0630@0.6737,0.2517,0.0951,0.0188"
urn:cite:hmt:venAslur.10-3,urn:cts:greekLit:tlg001.tlg0012.msA.hmt:10.94@ἀλαλύκτημαι,"urn:cite:hmt:vaimg.VA127VN-0630@0.6156,0.565,0.1181,0.0218"
urn:cite:hmt:venAslur.10-4,urn:cts:greekLit:tlg001.tlg0012.msA.hmt:10.136@χαλκοχιτώνων,"urn:cite:hmt:vaimg.VA128VN-0631@0.7658,0.4155,0.1401,0.0203"
urn:cite:hmt:venAslur.10-5,urn:cts:greekLit:tlg001.tlg0012.msA.hmt:10.183@δυσωρήσωνται,"urn:cite:hmt:vaimg.VA129VN-0632@0.6877,0.3674,0.1201,0.0248"
urn:cite:hmt:venAslur.10-6,urn:cts:greekLit:tlg001.tlg0012.msA.hmt:10.197@συμμητιάασθαι,"urn:cite:hmt:vaimg.VA129VN-0632@0.7257,0.6153,0.0881,0.0203"
urn:cite:hmt:venAslur.10-7,urn:cts:greekLit:tlg001.tlg0012.msA.hmt:10.247@περίοιδε,"urn:cite:hmt:vaimg.VA130VN-0633@0.7357,0.6176,0.0951,0.0225"
urn:cite:hmt:venAslur.10-8,urn:cts:greekLit:tlg001.tlg0012.msA.hmt:10.287@χαλκοχίτωνας,"urn:cite:hmt:vaimg.VA131VN-0634@0.7097,0.4222,0.1411,0.0255"
urn:cite:hmt:venAslur.10-9,urn:cts:greekLit:tlg001.tlg0012.msA.hmt:10.332@ἐπίορκον,"urn:cite:hmt:vaimg.VA132VN-0635@0.6226,0.3403,0.0801,0.0278"
urn:cite:hmt:venAslur.10-10,urn:cts:greekLit:tlg001.tlg0012.msA.hmt:10.360@καρχαρόδοντε,"urn:cite:hmt:vaimg.VA133RN-0305@0.2733,0.3742,0.1261,0.0233"
urn:cite:hmt:venAslur.10-11,urn:cts:greekLit:tlg001.tlg0012.msA.hmt:10.367@χαλκοχιτώνων,"urn:cite:hmt:vaimg.VA133RN-0305@0.4334,0.5139,0.1542,0.024"
urn:cite:hmt:venAslur.10-12,urn:cts:greekLit:tlg001.tlg0012.msA.hmt:10.379@πολύκμητός,"urn:cite:hmt:vaimg.VA133VN-0635@0.6557,0.287,0.1201,0.0218"
urn:cite:hmt:venAslur.10-13,urn:cts:greekLit:tlg001.tlg0012.msA.hmt:10.423@πολύμητις,"urn:cite:hmt:vaimg.VA134RN-0306@0.4344,0.6153,0.0961,0.021"
urn:cite:hmt:venAslur.10-14,urn:cts:greekLit:tlg001.tlg0012.msA.hmt:10.475@ἐπιδιφριάδος,"urn:cite:hmt:vaimg.VA135RN-0307@0.2022,0.6296,0.1301,0.0308"
urn:cite:hmt:venAslur.10-15,urn:cts:greekLit:tlg001.tlg0012.msA.hmt:10.495@τρισκαιδέκατον,"urn:cite:hmt:vaimg.VA135VN-0637@0.5155,0.5424,0.1602,0.0285"
urn:cite:hmt:venAslur.10-16,urn:cts:greekLit:tlg001.tlg0012.msA.hmt:10.518@βουληφόρον,"urn:cite:hmt:vaimg.VA136RN-0308@0.3353,0.4891,0.1011,0.0225"
urn:cite:hmt:venAslur.10-17,urn:cts:greekLit:tlg001.tlg0012.msA.hmt:10.552@νεφεληγερέτα,"urn:cite:hmt:vaimg.VA136VN-0638@0.7377,0.6612,0.1211,0.0248"
urn:cite:hmt:venAslur.10-18,urn:cts:greekLit:tlg001.tlg0012.msA.hmt:10.560@δυοκαίδεκα,"urn:cite:hmt:vaimg.VA137RN-0309@0.4214,0.3351,0.1261,0.0263"
urn:cite:hmt:venAslur.10-19,urn:cts:greekLit:tlg001.tlg0012.msA.hmt:10.561@τρισκαιδέκατον,"urn:cite:hmt:vaimg.VA137RN-0309@0.2272,0.3516,0.1632,0.0293"
