URN, CtsUrn, VisualEvidence, FolioUrn,MarkerLocation
urn:cite:hmt:e3scholia.1,urn:cts:greekLit:tlg5026.e3.hmt:10.1,"urn:cite:hmt:e3bifolio.E3-123v-124r@0.4749,0.7462,0.2295,0.027",urn:cite:hmt:e3.124r,"urn:cite:hmt:e3bifolio.E3-123v-124r@0.501,0.6832,0.012,0.0225"
urn:cite:hmt:e3scholia.2,urn:cts:greekLit:tlg5026.e3.hmt:10.2,"urn:cite:hmt:e3bifolio.E3-123v-124r@0.481,0.7673,0.2856,0.024",urn:cite:hmt:e3.124r,"urn:cite:hmt:e3bifolio.E3-123v-124r@0.5731,0.7042,0.014,0.0195"
urn:cite:hmt:e3scholia.3,urn:cts:greekLit:tlg5026.e3.hmt:10.3,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.1142,0.1697,0.3407,0.1111",urn:cite:hmt:e3.124v,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2903,0.3033,0.012,0.0165"
urn:cite:hmt:e3scholia.4,urn:cts:greekLit:tlg5026.e3.hmt:10.4,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.1061,0.2598,0.3544,0.03",urn:cite:hmt:e3.124v,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.4014,0.3318,0.01,0.018"
urn:cite:hmt:e3scholia.5,urn:cts:greekLit:tlg5026.e3.hmt:10.5,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.1061,0.2748,0.3544,0.0631",urn:cite:hmt:e3.124v,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.3113,0.3453,0.012,0.018"
urn:cite:hmt:e3scholia.6,urn:cts:greekLit:tlg5026.e3.hmt:10.6,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.1081,0.3318,0.1251,0.1291",urn:cite:hmt:e3.124v,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.3834,0.3664,0.011,0.0195"
urn:cite:hmt:e3scholia.7,urn:cts:greekLit:tlg5026.e3.hmt:10.7,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.1101,0.464,0.1261,0.0405",urn:cite:hmt:e3.124v,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.3303,0.3994,0.01,0.0135"
urn:cite:hmt:e3scholia.8,urn:cts:greekLit:tlg5026.e3.hmt:10.8,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.1041,0.5015,0.1371,0.1276",urn:cite:hmt:e3.124v,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2482,0.4324,0.012,0.018"
urn:cite:hmt:e3scholia.9,urn:cts:greekLit:tlg5026.e3.hmt:10.9,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.1171,0.6201,0.1311,0.1006",urn:cite:hmt:e3.124v,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2883,0.4505,0.008,0.0135"
urn:cite:hmt:e3scholia.10,urn:cts:greekLit:tlg5026.e3.hmt:10.10,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.1101,0.7057,0.3524,0.0841",urn:cite:hmt:e3.124v,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.3844,0.5045,0.007,0.0135"
urn:cite:hmt:e3scholia.11,urn:cts:greekLit:tlg5026.e3.hmt:10.11,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.1171,0.7673,0.3353,0.0586",urn:cite:hmt:e3.124v,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.3303,0.5571,0.012,0.0105"
urn:cite:hmt:e3scholia.12,urn:cts:greekLit:tlg5026.e3.hmt:10.12,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.1141,0.8138,0.3463,0.0465",urn:cite:hmt:e3.124v,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.3353,0.6622,0.008,0.0135"
urn:cite:hmt:e3scholia.13,urn:cts:greekLit:tlg5026.e3hmt:10.13,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.1102,0.8123,0.3437,0.0511",urn:cite:hmt:e3.124v,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.4088,0.6577,0.015,0.0135"
urn:cite:hmt:e3scholia.14,urn:cts:greekLit:tlg5026.e3hmt:10.14,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.1162,0.8423,0.3447,0.0661",urn:cite:hmt:e3.124v,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2715,0.6922,0.014,0.012"
urn:cite:hmt:e3scholia.15,urn:cts:greekLit:tlg5026.e3hmt:10.15,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.478,0.2177,0.2004,0.03",urn:cite:hmt:e3.125r,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.496,0.3453,0.009,0.0135"
urn:cite:hmt:e3scholia.16,urn:cts:greekLit:tlg5026.e3hmt:10.16,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.479,0.2102,0.3397,0.0871",urn:cite:hmt:e3.125r,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.5471,0.4129,0.012,0.012"
urn:cite:hmt:e3scholia.17,urn:cts:greekLit:tlg5026.e3hmt:10.17,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.5762,0.2688,0.2535,0.0225",urn:cite:hmt:e3.125r,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.511,0.4489,0.008,0.015"
urn:cite:hmt:e3scholia.18,urn:cts:greekLit:tlg5026.e3hmt:10.18,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.7024,0.3003,0.1192,0.0751",urn:cite:hmt:e3.125r,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.513,0.464,0.011,0.015"
urn:cite:hmt:e3scholia.19,urn:cts:greekLit:tlg5026.e3hmt:10.19,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.7054,0.47,0.1162,0.1186",urn:cite:hmt:e3.125r,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.5411,0.497,0.011,0.0165"
urn:cite:hmt:e3scholia.20,urn:cts:greekLit:tlg5026.e3hmt:10.20,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.7074,0.6231,0.1082,0.0826",urn:cite:hmt:e3.125r,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.5611,0.515,0.012,0.012"
urn:cite:hmt:e3scholia.21,urn:cts:greekLit:tlg5026.e3hmt:10.21,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.489,0.7417,0.3397,0.0601",urn:cite:hmt:e3.125r,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.499,0.5841,0.015,0.012"
urn:cite:hmt:e3scholia.22,urn:cts:greekLit:tlg5026.e3hmt:10.22,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.486,0.7853,0.3287,0.0255",urn:cite:hmt:e3.125r,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.6754,0.6366,0.011,0.012"
urn:cite:hmt:e3scholia.23,urn:cts:greekLit:tlg5026.e3hmt:10.23,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.488,0.8138,0.3236,0.0285",urn:cite:hmt:e3.125r,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.522,0.6532,0.012,0.012"
urn:cite:hmt:e3scholia.24,urn:cts:greekLit:tlg5026.e3hmt:10.24,"urn:cite:hmt:e3bifolio.E3-125v-126r@0.1232,0.2027,0.2475,0.0375",urn:cite:hmt:e3.125v,""
urn:cite:hmt:e3scholia.25,urn:cts:greekLit:tlg5026.e3hmt:10.25,"urn:cite:hmt:e3bifolio.E3-125v-126r@0.1132,0.2252,0.3447,0.1411",urn:cite:hmt:e3.125v,"urn:cite:hmt:e3bifolio.E3-125v-126r@0.2715,0.3348,0.005,0.015"
urn:cite:hmt:e3scholia.26,urn:cts:greekLit:tlg5026.e3hmt:10.26,"urn:cite:hmt:e3bifolio.E3-125v-126r@0.1212,0.3679,0.1062,0.048",urn:cite:hmt:e3.125v,"urn:cite:hmt:e3bifolio.E3-125v-126r@0.3357,0.3949,0.008,0.0135"
urn:cite:hmt:e3scholia.27,urn:cts:greekLit:tlg5026.e3hmt:10.27,"urn:cite:hmt:e3bifolio.E3-125v-126r@0.1152,0.4234,0.1222,0.0946",urn:cite:hmt:e3.125v,"urn:cite:hmt:e3bifolio.E3-125v-126r@0.3126,0.4129,0.01,0.009"
urn:cite:hmt:e3scholia.28,urn:cts:greekLit:tlg5026.e3hmt:10.28,"urn:cite:hmt:e3bifolio.E3-125v-126r@0.1072,0.5105,0.1152,0.0856",urn:cite:hmt:e3.125v,"urn:cite:hmt:e3bifolio.E3-125v-126r@0.2866,0.4805,0.011,0.012"
urn:cite:hmt:e3scholia.29,urn:cts:greekLit:tlg5026.e3hmt:10.29,"urn:cite:hmt:e3bifolio.E3-125v-126r@0.1072,0.6231,0.1182,0.0811",urn:cite:hmt:e3.125v,"urn:cite:hmt:e3bifolio.E3-125v-126r@0.2515,0.4955,0.009,0.0105"
urn:cite:hmt:e3scholia.30,urn:cts:greekLit:tlg5026.e3hmt:10.30,"urn:cite:hmt:e3bifolio.E3-125v-126r@0.1062,0.7477,0.3577,0.0375",urn:cite:hmt:e3.125v,"urn:cite:hmt:e3bifolio.E3-125v-126r@0.2685,0.5811,0.009,0.015"
urn:cite:hmt:e3scholia.31,urn:cts:greekLit:tlg5026.e3hmt:10.31,"urn:cite:hmt:e3bifolio.E3-125v-126r@0.1072,0.7733,0.3467,0.042",urn:cite:hmt:e3.125v,"urn:cite:hmt:e3bifolio.E3-125v-126r@0.3818,0.5856,0.01,0.012"
urn:cite:hmt:e3scholia.32,urn:cts:greekLit:tlg5026.e3hmt:10.32,"urn:cite:hmt:e3bifolio.E3-125v-126r@0.1062,0.8018,0.3517,0.0405",urn:cite:hmt:e3.125v,"urn:cite:hmt:e3bifolio.E3-125v-126r@0.2545,0.6006,0.016,0.0135"
urn:cite:hmt:e3scholia.33,urn:cts:greekLit:tlg5026.e3hmt:10.33,"urn:cite:hmt:e3bifolio.E3-125v-126r@0.4915,0.2102,0.3413,0.0556",urn:cite:hmt:e3.126r,"urn:cite:hmt:e3bifolio.E3-125v-126r@0.5395,0.3033,0.012,0.0135"
urn:cite:hmt:e3scholia.34,urn:cts:greekLit:tlg5026.e3hmt:10.34,"urn:cite:hmt:e3bifolio.E3-125v-126r@0.4815,0.2583,0.3524,0.033",urn:cite:hmt:e3.126r,"urn:cite:hmt:e3bifolio.E3-125v-126r@0.6136,0.3739,0.009,0.0135"
urn:cite:hmt:e3scholia.35,urn:cts:greekLit:tlg5026.e3hmt:10.35,"urn:cite:hmt:e3bifolio.E3-125v-126r@0.6216,0.2733,0.2202,0.0375",urn:cite:hmt:e3.126r,"urn:cite:hmt:e3bifolio.E3-125v-126r@0.5926,0.3904,0.01,0.012"
