URN,ImageReference
urn:cts:greekLit:tlg0012.tlg001.msA:10.1,"urn:cite:hmt:vaimg.VA126RN-0298@0.1451,0.1833,0.4474,0.0654
"
urn:cts:greekLit:tlg0012.tlg001.msA:10.12,"urn:cite:hmt:vaimg.VA126RN-0298@0.165,0.4171,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.19,"urn:cite:hmt:vaimg.VA126RN-0298@0.1672,0.55,0.4134,0.027
"
urn:cts:greekLit:tlg0012.tlg001.msA:10.2,"urn:cite:hmt:vaimg.VA126RN-0298@0.19,0.2206,0.435,0.0315"
urn:cts:greekLit:tlg0012.tlg001.msA:10.5	,"urn:cite:hmt:vaimg.VA126RN-0298@0.1642,0.284,0.4404,0.0225
"
urn:cts:greekLit:tlg0012.tlg001.msA:10.21,"urn:cite:hmt:vaimg.VA126RN-0298@0.1732,0.5875,0.4074,0.027
"
urn:cts:greekLit:tlg0012.tlg001.msA:10.3	,"urn:cite:hmt:vaimg.VA126RN-0298@0.1802,0.2464,0.4114,0.0188
"
urn:cts:greekLit:tlg0012.tlg001.msA:10.10,"urn:cite:hmt:vaimg.VA126RN-0298@0.1592,0.3779,0.4675,0.0285
"
urn:cts:greekLit:tlg0012.tlg001.msA:10.4,"urn:cite:hmt:vaimg.VA126RN-0298@0.183,0.2618,0.435,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.15,"urn:cite:hmt:vaimg.VA126RN-0298@0.1632,0.4726,0.4595,0.0255
"
urn:cts:greekLit:tlg0012.tlg001.msA:10.6,"urn:cite:hmt:vaimg.VA126RN-0298@0.1822,0.3043,0.4434,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.20,"urn:cite:hmt:vaimg.VA126RN-0298@0.16,0.5694,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.24,"urn:cite:hmt:vaimg.VA126RN-0298@0.157,0.6452,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.8,"urn:cite:hmt:vaimg.VA126RN-0298@0.1732,0.3403,0.4264,0.0263
"
urn:cts:greekLit:tlg0012.tlg001.msA:10.7,"urn:cite:hmt:vaimg.VA126RN-0298@0.162,0.3203,0.455,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.11,"urn:cite:hmt:vaimg.VA126RN-0298@0.1622,0.3967,0.4194,0.0278
"
urn:cts:greekLit:tlg0012.tlg001.msA:10.18,"urn:cite:hmt:vaimg.VA126RN-0298@0.166,0.5319,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.9,"urn:cite:hmt:vaimg.VA126RN-0298@0.1762,0.3554,0.4505,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:10.13,"urn:cite:hmt:vaimg.VA126RN-0298@0.1752,0.4328,0.4484,0.0278
"
"urn:cts:greekLit:tlg0012.tlg001.msA:10.14
","urn:cite:hmt:vaimg.VA126RN-0298@0.167,0.4531,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.22,"urn:cite:hmt:vaimg.VA126RN-0298@0.157,0.6077,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.16,"urn:cite:hmt:vaimg.VA126RN-0298@0.164,0.4921,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.23,"urn:cite:hmt:vaimg.VA126RN-0298@0.1642,0.6251,0.4434,0.0255
"
urn:cts:greekLit:tlg0012.tlg001.msA:10.25,"urn:cite:hmt:vaimg.VA126RN-0298@0.1642,0.6627,0.4444,0.0301
"
urn:cts:greekLit:tlg0012.tlg001.msA:10.17,"urn:cite:hmt:vaimg.VA126RN-0298@0.176,0.5105,0.396,0.027"
