URN,ImageReference
urn:cts:greekLit:tlg0012.tlg001.msA:10.403,"urn:cite:hmt:vaimg.VA134RN-0306@0.1752,0.2269,0.3874,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.407,"urn:cite:hmt:vaimg.VA134RN-0306@0.1772,0.3013,0.4244,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.418,"urn:cite:hmt:vaimg.VA134RN-0306@0.1682,0.5101,0.3954,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:10.435,"urn:cite:hmt:vaimg.VA134VN-0636@0.5005,0.3839,0.3544,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.444,"urn:cite:hmt:vaimg.VA134VN-0636@0.5045,0.5537,0.3664,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.448,"urn:cite:hmt:vaimg.VA134VN-0636@0.5075,0.6289,0.3774,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.402,"urn:cite:hmt:vaimg.VA134RN-0306@0.1812,0.2029,0.3624,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:10.416,"urn:cite:hmt:vaimg.VA134RN-0306@0.1752,0.4726,0.4314,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:10.417,"urn:cite:hmt:vaimg.VA134RN-0306@0.1712,0.4914,0.4204,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:10.413,"urn:cite:hmt:vaimg.VA134RN-0306@0.1702,0.4185,0.4374,0.0308"
urn:cts:greekLit:tlg0012tlg001.msA:10.429,"urn:cite:hmt:vaimg.VA134VN-0636@0.5025,0.2712,0.3664,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.433,"urn:cite:hmt:vaimg.VA134VN-0636@0.5055,0.3479,0.3704,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.449,"urn:cite:hmt:vaimg.VA134VN-0636@0.5065,0.6484,0.3794,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.404,"urn:cite:hmt:vaimg.VA134RN-0306@0.1842,0.2464,0.3844,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.405,"urn:cite:hmt:vaimg.VA134RN-0306@0.1832,0.263,0.3874,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:10.422,"urn:cite:hmt:vaimg.VA134RN-0306@0.1672,0.5868,0.4154,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:10.424,"urn:cite:hmt:vaimg.VA134RN-0306@0.1592,0.6243,0.4244,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.409,"urn:cite:hmt:vaimg.VA134RN-0306@0.1552,0.3418,0.4324,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.414,"urn:cite:hmt:vaimg.VA134RN-0306@0.1722,0.4358,0.3984,0.027"
urn:cts:greekLit:tlg0012tlg001.msA:10.428,"urn:cite:hmt:vaimg.VA134VN-0636@0.4835,0.2539,0.3904,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.443,"urn:cite:hmt:vaimg.VA134VN-0636@0.5025,0.5349,0.3734,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.406,"urn:cite:hmt:vaimg.VA134RN-0306@0.1782,0.2847,0.4244,0.024"
urn:cts:greekLit:tlg0012tlg001.msA:10.431,"urn:cite:hmt:vaimg.VA134VN-0636@0.5025,0.3095,0.3924,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.407,"urn:cite:hmt:vaimg.VA134RN-0306@0.1772,0.3013,0.4244,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.419,"urn:cite:hmt:vaimg.VA134RN-0306@0.1722,0.5327,0.3904,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.423,"urn:cite:hmt:vaimg.VA134RN-0306@0.1632,0.6078,0.4374,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.434,"urn:cite:hmt:vaimg.VA134VN-0636@0.4995,0.3674,0.3944,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.441,"urn:cite:hmt:vaimg.VA134VN-0636@0.4995,0.4974,0.3724,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.408,"urn:cite:hmt:vaimg.VA134RN-0306@0.1602,0.3223,0.4324,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.410,"urn:cite:hmt:vaimg.VA134RN-0306@0.1562,0.3599,0.4494,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.412,"urn:cite:hmt:vaimg.VA134RN-0306@0.1772,0.4005,0.4124,0.0233"
