URN,ImageReference
urn:cts:greekLit:tlg0012.tlg001.msA:10.143,"urn:cite:hmt:vaimg.VA128VN-0631@0.491,0.5421,0.4218,0.0256"
urn:cts:greekLit:tlg0012.tlg001.msA:10.103,"urn:cite:hmt:vaimg.VA128RN-0300@0.1552,0.2434,0.4414,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:10.109,"urn:cite:hmt:vaimg.VA128RN-0300@0.1542,0.3606,0.4024,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.119,"urn:cite:hmt:vaimg.VA128RN-0300@0.1552,0.5507,0.4505,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.101,"urn:cite:hmt:vaimg.VA128RN-0300@0.1672,0.2051,0.4204,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.108,"urn:cite:hmt:vaimg.VA128RN-0300@0.1592,0.3418,0.4384,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.116,"urn:cite:hmt:vaimg.VA128RN-0300@0.1421,0.4906,0.3894,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.102,"urn:cite:hmt:vaimg.VA128RN-0300@0.1522,0.2269,0.4414,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.104,"urn:cite:hmt:vaimg.VA128RN-0300@0.1481,0.2645,0.4414,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:10.114,"urn:cite:hmt:vaimg.VA128RN-0300@0.1592,0.4538,0.3794,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.105,"urn:cite:hmt:vaimg.VA128RN-0300@0.1451,0.2817,0.4414,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:10.120,"urn:cite:hmt:vaimg.VA128RN-0300@0.1411,0.571,0.4635,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.121,"urn:cite:hmt:vaimg.VA128RN-0300@0.1592,0.5905,0.4334,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:10.106,"urn:cite:hmt:vaimg.VA128RN-0300@0.1572,0.3013,0.4414,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:10.146,"urn:cite:hmt:vaimg.VA128VN-0631@0.498,0.5988,0.4148,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.107,"urn:cite:hmt:vaimg.VA128RN-0300@0.1552,0.3208,0.4134,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:10.115,"urn:cite:hmt:vaimg.VA128RN-0300@0.1602,0.4748,0.4044,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:10.122,"urn:cite:hmt:vaimg.VA128RN-0300@0.1632,0.6101,0.3704,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.123,"urn:cite:hmt:vaimg.VA128RN-0300@0.1632,0.6281,0.4394,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.124,"urn:cite:hmt:vaimg.VA128RN-0300@0.1632,0.6476,0.4394,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.142,"urn:cite:hmt:vaimg.VA128VN-0631@0.495,0.518,0.4098,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:10.150,"urn:cite:hmt:vaimg.VA128VN-0631@0.501,0.6747,0.4008,0.0218"
urn:cts:greekLit:tlg0012.tlg001.msA:10.110,"urn:cite:hmt:vaimg.VA128RN-0300@0.1461,0.3794,0.4204,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.117,"urn:cite:hmt:vaimg.VA128RN-0300@0.1451,0.5139,0.4234,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:10.129,"urn:cite:hmt:vaimg.VA128VN-0631@0.4875,0.2825,0.3694,0.0218"
urn:cts:greekLit:tlg0012.tlg001.msA:10.132,"urn:cite:hmt:vaimg.VA128VN-0631@0.4935,0.3351,0.3994,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.135,"urn:cite:hmt:vaimg.VA128VN-0631@0.4945,0.3922,0.4214,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.138,"urn:cite:hmt:vaimg.VA128VN-0631@0.4855,0.4485,0.3874,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.139,"urn:cite:hmt:vaimg.VA128VN-0631@0.486,0.4647,0.4138,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:10.111,"urn:cite:hmt:vaimg.VA128RN-0300@0.1562,0.3967,0.4104,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.118,"urn:cite:hmt:vaimg.VA128RN-0300@0.1421,0.5342,0.4575,0.021"
urn:cts:greekLit:tlg0012.tlg001.msA:10.125,"urn:cite:hmt:vaimg.VA128RN-0300@0.1602,0.6649,0.4525,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.,
urn:cts:greekLit:tlg0012.tlg001.msA:10.128,"urn:cite:hmt:vaimg.VA128VN-0631@0.4845,0.263,0.4084,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.131,"urn:cite:hmt:vaimg.VA128VN-0631@0.4875,0.3186,0.3784,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:10.134,"urn:cite:hmt:vaimg.VA128VN-0631@0.4925,0.3734,0.3904,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.137,"urn:cite:hmt:vaimg.VA128VN-0631@0.4865,0.4282,0.3874,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.145,"urn:cite:hmt:vaimg.VA128VN-0631@0.503,0.577,0.3948,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.112,"urn:cite:hmt:vaimg.VA128RN-0300@0.1572,0.417,0.4104,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.126,"urn:cite:hmt:vaimg.VA128VN-0631@0.4845,0.2224,0.4084,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.147,"urn:cite:hmt:vaimg.VA128VN-0631@0.493,0.6168,0.3988,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.113,"urn:cite:hmt:vaimg.VA128RN-0300@0.1562,0.4365,0.4304,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.127,"urn:cite:hmt:vaimg.VA128VN-0631@0.4845,0.2449,0.4084,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.130,"urn:cite:hmt:vaimg.VA128VN-0631@0.4915,0.3005,0.3694,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:10.133,"urn:cite:hmt:vaimg.VA128VN-0631@0.4925,0.3561,0.4044,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.136,"urn:cite:hmt:vaimg.VA128VN-0631@0.4925,0.414,0.4214,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.141,"urn:cite:hmt:vaimg.VA128VN-0631@0.483,0.5053,0.3918,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.149,"urn:cite:hmt:vaimg.VA128VN-0631@0.496,0.6544,0.4158,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.140,"urn:cite:hmt:vaimg.VA128VN-0631@0.4749,0.485,0.4379,0.0256"
urn:cts:greekLit:tlg0012.tlg001.msA:10.148,"urn:cite:hmt:vaimg.VA128VN-0631@0.493,0.6341,0.4299,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:10.144,"urn:cite:hmt:vaimg.VA128VN-0631@0.489,0.5594,0.3948,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.403,"urn:cite:hmt:vaimg.VA134RN-0306@0.1752,0.2269,0.3874,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.407,"urn:cite:hmt:vaimg.VA134RN-0306@0.1772,0.3013,0.4244,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.418,"urn:cite:hmt:vaimg.VA134RN-0306@0.1682,0.5101,0.3954,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:10.435,"urn:cite:hmt:vaimg.VA134VN-0636@0.5005,0.3839,0.3544,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.444,"urn:cite:hmt:vaimg.VA134VN-0636@0.5045,0.5537,0.3664,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.448,"urn:cite:hmt:vaimg.VA134VN-0636@0.5075,0.6289,0.3774,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.402,"urn:cite:hmt:vaimg.VA134RN-0306@0.1812,0.2029,0.3624,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:10.416,"urn:cite:hmt:vaimg.VA134RN-0306@0.1752,0.4726,0.4314,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:10.417,"urn:cite:hmt:vaimg.VA134RN-0306@0.1712,0.4914,0.4204,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:10.413,"urn:cite:hmt:vaimg.VA134RN-0306@0.1702,0.4185,0.4374,0.0308"
urn:cts:greekLit:tlg0012tlg001.msA:10.429,"urn:cite:hmt:vaimg.VA134VN-0636@0.5025,0.2712,0.3664,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.433,"urn:cite:hmt:vaimg.VA134VN-0636@0.5055,0.3479,0.3704,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.449,"urn:cite:hmt:vaimg.VA134VN-0636@0.5065,0.6484,0.3794,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.404,"urn:cite:hmt:vaimg.VA134RN-0306@0.1842,0.2464,0.3844,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.405,"urn:cite:hmt:vaimg.VA134RN-0306@0.1832,0.263,0.3874,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:10.422,"urn:cite:hmt:vaimg.VA134RN-0306@0.1672,0.5868,0.4154,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:10.424,"urn:cite:hmt:vaimg.VA134RN-0306@0.1592,0.6243,0.4244,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.409,"urn:cite:hmt:vaimg.VA134RN-0306@0.1552,0.3418,0.4324,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.414,"urn:cite:hmt:vaimg.VA134RN-0306@0.1722,0.4358,0.3984,0.027"
urn:cts:greekLit:tlg0012tlg001.msA:10.428,"urn:cite:hmt:vaimg.VA134VN-0636@0.4835,0.2539,0.3904,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.443,"urn:cite:hmt:vaimg.VA134VN-0636@0.5025,0.5349,0.3734,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.406,"urn:cite:hmt:vaimg.VA134RN-0306@0.1782,0.2847,0.4244,0.024"
urn:cts:greekLit:tlg0012tlg001.msA:10.431,"urn:cite:hmt:vaimg.VA134VN-0636@0.5025,0.3095,0.3924,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.407,"urn:cite:hmt:vaimg.VA134RN-0306@0.1772,0.3013,0.4244,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.419,"urn:cite:hmt:vaimg.VA134RN-0306@0.1722,0.5327,0.3904,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.423,"urn:cite:hmt:vaimg.VA134RN-0306@0.1632,0.6078,0.4374,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.434,"urn:cite:hmt:vaimg.VA134VN-0636@0.4995,0.3674,0.3944,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.441,"urn:cite:hmt:vaimg.VA134VN-0636@0.4995,0.4974,0.3724,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.408,"urn:cite:hmt:vaimg.VA134RN-0306@0.1602,0.3223,0.4324,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.410,"urn:cite:hmt:vaimg.VA134RN-0306@0.1562,0.3599,0.4494,0.0255"
