Text,Folio
urn:cts:greekLit:tlg5026.msA.hmt:10.1,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.2,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.3,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.4,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.5,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.6,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.7,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.8,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.9,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.10,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.11,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.12,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.13,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.14,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.15,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.16,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.17,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.18,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAim.hmt:10.34,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAint.hmt:10.32,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAint.hmt:10.33,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAil.hmt:10.19,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAil.hmt:10.20,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAil.hmt:10.21,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAil.hmt:10.22,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAil.hmt:10.23,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAil.hmt:10.24,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAil.hmt:10.25,urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAil.hmt:10.26,urn:cite:hmt:msA.126r
